Status do Arquivo: Final;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RptDt;TckrSymb;Asst;AsstDesc;SgmtNm;MktNm;SctyCtgyNm;XprtnDt;XprtnCd;TradgStartDt;TradgEndDt;BaseCd;ConvsCritNm;MtrtyDtTrgtPt;ReqrdConvsInd;ISIN;CFICd;DlvryNtceStartDt;DlvryNtceEndDt;OptnTp;CtrctMltplr;AsstQtnQty;AllcnRndLot;TradgCcy;DlvryTpNm;WdrwlDays;WrkgDays;ClnrDays;RlvrBasePricNm;OpngFutrPosDay;SdTpCd1;UndrlygTckrSymb1;SdTpCd2;UndrlygTckrSymb2;PureGoldWght;ExrcPric;OptnStyle;ValTpNm;PrmUpfrntInd;OpngPosLmtDt;DstrbtnId;PricFctr;DaysToSttlm;SrsTpNm;PrtcnFlg;AutomtcExrcInd;SpcfctnCd;CrpnNm;CorpActnStartDt;CtdyTrtmntTpNm;MktCptlstn;CorpGovnLvlNm
23/08/2024;A1EG34M;A1EG;A1EG;Equity Block Trading Lot;EQUITY-CASH;BDR;;;14/06/2024;31/12/9999;;;;;BRA1EGBDR002;EDMXPR;;;;;;1;BRL;;;;;;;;;;;;;;;;;107;1;2;;;;DRN;AEGON LTD.;31/12/9999;FUNGIBLE;2112748000;
23/08/2024;A1EG34Q;A1EG;A1EG;Equity Block Trading Lot;EQUITY-CASH;BDR;;;14/06/2024;31/12/9999;;;;;BRA1EGBDR002;EDMXPR;;;;;;1;BRL;;;;;;;;;;;;;;;;;107;1;2;;;;DRN;AEGON LTD.;31/12/9999;FUNGIBLE;2112748000;
23/08/2024;A1EG34R;A1EG;A1EG;Equity Block Trading Lot;EQUITY-CASH;BDR;;;14/06/2024;31/12/9999;;;;;BRA1EGBDR002;EDMXPR;;;;;;1;BRL;;;;;;;;;;;;;;;;;107;1;2;;;;DRN;AEGON LTD.;31/12/9999;FUNGIBLE;2112748000;
23/08/2024;A1EN34;A1EN;A1EN;CASH;EQUITY-CASH;BDR;;;30/07/2024;31/12/9999;;;;;BRA1ENBDR008;EDSXPR;;;;;;1;BRL;;;;;;;;;;;;;;;;;119;1;2;;;;DRN;ALLIANT ENERGY CORP;31/12/9999;FUNGIBLE;249644400;
23/08/2024;A1EP34;A1EP;A1EP;CASH;EQUITY-CASH;BDR;;;08/08/2024;31/12/9999;;;;;BRA1EPBDR003;EDSXPR;;;;;;1;BRL;;;;;;;;;;;;;;;;;119;1;2;;;;DRN;AMERICAN ELECTRIC POWER CO INC;31/12/9999;FUNGIBLE;992310800;
23/08/2024;A1EP34M;A1EP;A1EP;Equity Block Trading Lot;EQUITY-CASH;BDR;;;08/08/2024;31/12/9999;;;;;BRA1EPBDR003;EDSXPR;;;;;;1;BRL;;;;;;;;;;;;;;;;;119;1;2;;;;DRN;AMERICAN ELECTRIC POWER CO INC;31/12/9999;FUNGIBLE;992310800;
23/08/2024;A1EP34Q;A1EP;A1EP;Equity Block Trading Lot;EQUITY-CASH;BDR;;;08/08/2024;31/12/9999;;;;;BRA1EPBDR003;EDSXPR;;;;;;1;BRL;;;;;;;;;;;;;;;;;119;1;2;;;;DRN;AMERICAN ELECTRIC POWER CO INC;31/12/9999;FUNGIBLE;992310800;
23/08/2024;A1EP34R;A1EP;A1EP;Equity Block Trading Lot;EQUITY-CASH;BDR;;;08/08/2024;31/12/9999;;;;;BRA1EPBDR003;EDSXPR;;;;;;1;BRL;;;;;;;;;;;;;;;;;119;1;2;;;;DRN;AMERICAN ELECTRIC POWER CO INC;31/12/9999;FUNGIBLE;992310800;
23/08/2024;A1ES34;A1ES;A1ES;CASH;EQUITY-CASH;BDR;;;31/07/2024;31/12/9999;;;;;BRA1ESBDR007;EDSXPR;;;;;;1;BRL;;;;;;;;;;;;;;;;;119;1;2;;;;DRN;AES CORP;31/12/9999;FUNGIBLE;667395100;
23/08/2024;A1ES34M;A1ES;A1ES;Equity Block Trading Lot;EQUITY-CASH;BDR;;;31/07/2024;31/12/9999;;;;;BRA1ESBDR007;EDSXPR;;;;;;1;BRL;;;;;;;;;;;;;;;;;119;1;2;;;;DRN;AES CORP;31/12/9999;FUNGIBLE;667395100;
